legacy_url,resource_type,disposition,target_url,index_control_needed,implementation_layer,header_control_possible,owner
/wp-content/uploads/2022/06/performance-dashboard.png,media,redirect,/media/2022/performance-dashboard-8a847df133.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/06/social-commerce-salesforce-scaled.jpg,media,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2022/07/1da84b9d-7a51-4f6f-bcb0-b0217c4e5cb7-scaled.jpeg,media,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2022/07/add-dns-record-domain.com_.jpg,media,redirect,/media/2022/add-dns-record-domain-com-245d883c43.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/comparison-sitegenesis-sfra-pwa.png,media,redirect,/media/2022/comparison-sitegenesis-sfra-pwa-5593ba325c.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/controllers.png,media,redirect,/media/2022/controllers-130298bfb4.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/custom-api-custom-object.png,media,redirect,/media/2022/custom-api-custom-object-051e16e59a.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-add-hostname-second-step.png,media,redirect,/media/2022/ecdn-add-hostname-second-step-1cfd425363.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-add-hostname.png,media,redirect,/media/2022/ecdn-add-hostname-719cd44c57.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-crypto-settings.png,media,redirect,/media/2022/ecdn-crypto-settings-b5ebdefdd6.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-customize-settings.png,media,redirect,/media/2022/ecdn-customize-settings-87c4ccf54c.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-firewall-settings.png,media,redirect,/media/2022/ecdn-firewall-settings-ee94d7af54.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-interface-update.png,media,redirect,/media/2022/ecdn-interface-update-8e83d9ac74.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-overview.png,media,redirect,/media/2022/ecdn-overview-fea46a41af.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-speed-settings.png,media,redirect,/media/2022/ecdn-speed-settings-cccba25f5e.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-upload-certificate.png,media,redirect,/media/2022/ecdn-upload-certificate-2447fc3d76.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-verification-needed-step2.png,media,redirect,/media/2022/ecdn-verification-needed-step2-7bd0bfea95.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-verification-needed.png,media,redirect,/media/2022/ecdn-verification-needed-4d10fff1bf.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ecdn-waf-settings.png,media,redirect,/media/2022/ecdn-waf-settings-3ec4c7f73e.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/get-customer-custom-api-response.png,media,redirect,/media/2022/get-customer-custom-api-response-a6c8902585.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/manage-get-customer-object.png,media,redirect,/media/2022/manage-get-customer-object-7b88237d34.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ocapi-settings.png,media,redirect,/media/2022/ocapi-settings-46b5f9c8b0.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/pipelines.png,media,redirect,/media/2022/pipelines-eed67b4c67.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/postman-variables-custom-api.png,media,redirect,/media/2022/postman-variables-custom-api-ec0a89ffce.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/pwa-kit.png,media,redirect,/media/2022/pwa-kit-03394b0f92.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/ruth-architect.png,media,redirect,/media/2022/ruth-architect-985a2e68a5.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/sfcc-history.png,media,redirect,/media/2022/sfcc-history-86f56e594a.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/sfra-vs-sitegenesis.jpg,media,redirect,/media/2022/sfra-vs-sitegenesis-965c09b9a6.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/site-specific-quota-limit-information.png,media,redirect,/media/2022/site-specific-quota-limit-information-c67623c0c3.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/07/sitegenesis.jpg,media,redirect,/media/2022/sitegenesis-9a921c285a.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/08/session-bridge-guest-basket-insecure-order.jpeg,media,redirect,/media/2022/session-bridge-guest-basket-insecure-order-a252675925.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/08/session-bridge-guest-basket-secure-order.jpeg,media,redirect,/media/2022/session-bridge-guest-basket-secure-order-df1146c25d.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/08/session-bridge-mobile-app-v3-scaled.jpeg,media,redirect,/media/2022/session-bridge-mobile-app-v3-scaled-93e60b2f4b.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/08/system-overview-journey-of-a-request.jpeg,media,redirect,/media/2022/system-overview-journey-of-a-request-de0673b3bd.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/08/system-overview-systems-v2.jpeg,media,redirect,/media/2022/system-overview-systems-v2-96d8264c0f.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/09/ecdn-staging.jpg,media,redirect,/media/2022/ecdn-staging-464848555e.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/09/inventory-grouping.png,media,redirect,/media/2022/inventory-grouping-6f9edbe7b9.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/09/oci-included-in-license.png,media,redirect,/media/2022/oci-included-in-license-b4aca05118.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/09/omnichannel-inventory.png,media,redirect,/media/2022/omnichannel-inventory-0b29da8f29.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/09/salesforce-order-management.png,media,redirect,/media/2022/salesforce-order-management-533a060e99.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/10/commerce-on-core-subscriptions.jpg,media,redirect,/media/2022/commerce-on-core-subscriptions-6a0584ff6d.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/10/commerce-on-core.jpg,media,redirect,/media/2022/commerce-on-core-fda7921efd.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/10/hook-return-behaviour.jpg,media,redirect,/media/2022/hook-return-behaviour-91893c6015.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/10/hooks-return-status-to-short-circuit.jpg,media,redirect,/media/2022/hooks-return-status-to-short-circuit-806c56df79.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/10/slas-trusted-agent.png,media,redirect,/media/2022/slas-trusted-agent-099b4e2206.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/11/26df11a8-62ec-44cd-bf3b-6ff9ab46bee8-768x432.jpg,media,redirect,/media/2022/26df11a8-62ec-44cd-bf3b-6ff9ab46bee8-5598d60cbd.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/11/26df11a8-62ec-44cd-bf3b-6ff9ab46bee8.jpg,media,redirect,/media/2022/26df11a8-62ec-44cd-bf3b-6ff9ab46bee8-5598d60cbd.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/11/account-manager-api-client-token-format.jpg,media,redirect,/media/2022/account-manager-api-client-token-format-808bcccc72.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/11/sales.jpg,media,redirect,/media/2022/sales-25d69d411e.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/11/screenshot-2022-06-01-at-20.31.35-e1654104790984.png,media,redirect,/media/2022/screenshot-2022-06-01-at-20-31-35-e1654104790984-f648d18f90.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/11/sfcc-quota-alerts.jpg,media,redirect,/media/2022/sfcc-quota-alerts-7f9e795d58.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/chatgpt-faq-2022.jpeg,media,redirect,/media/2022/chatgpt-faq-2022-40f4e275e1.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/chatgpt-warnings.jpeg,media,redirect,/media/2022/chatgpt-warnings-5212d4f2bc.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/hsts-business-manager-sfcc-1024x516.jpg,media,redirect,/media/2022/hsts-business-manager-sfcc-95dbd0264e.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/salesforce-apex-trigger-chatgpt-download-reviews.jpeg,media,redirect,/media/2022/salesforce-apex-trigger-chatgpt-download-reviews-02315d688b.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/salesforce-apex-trigger-fixed-chatgpt.jpeg,media,redirect,/media/2022/salesforce-apex-trigger-fixed-chatgpt-4f14ff15f9.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/sfra-prepend-controller-chatgpt.jpeg,media,redirect,/media/2022/sfra-prepend-controller-chatgpt-67cd953d79.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/12/sfra-prepend-reviews-chatgpt-attempt2.jpeg,media,redirect,/media/2022/sfra-prepend-reviews-chatgpt-attempt2-d8dd9d7540.jpeg,no,edge-cdn,yes,engineering-owner
