scope,file,url,sampleGroup,check,status,severity,message,expected,actual
frontmatter,migration/output/content/pages/me-myself-and-headless-a-composable-commerce-cloud-story.md,/me-myself-and-headless-a-composable-commerce-cloud-story/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/migrate-magento-passwords-using-argon2.md,/migrate-magento-passwords-using-argon2/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/new-apis-and-features-for-a-headless-sfcc.md,/new-apis-and-features-for-a-headless-sfcc/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/new-apis-and-features-for-a-headless-sfcc/index.html,/new-apis-and-features-for-a-headless-sfcc/,video,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/new-apis-and-features-for-a-headless-sfcc/,https://www.rhino-inquisitor.com/new-apis-and-features-for-a-headless-sfcc/
rendered,tmp/rhi039-public/new-apis-and-features-for-a-headless-sfcc/index.html,/new-apis-and-features-for-a-headless-sfcc/,video,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/new-apis-and-features-for-a-headless-sfcc/index.html,/new-apis-and-features-for-a-headless-sfcc/,video,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/new-apis-and-features-for-a-headless-sfcc/,/new-apis-and-features-for-a-headless-sfcc/
frontmatter,migration/output/content/posts/office-hours-for-salesforce-b2c-commerce-cloud.md,/office-hours-for-salesforce-b2c-commerce-cloud/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/offline.md,/offline/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/pdf-and-salesforce-commerce-cloud-b2c.md,/pdf-and-salesforce-commerce-cloud-b2c/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/podcasts-for-salesforce-b2c-commerce-cloud.md,/podcasts-for-salesforce-b2c-commerce-cloud/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/preparing-for-the-b2c-commerce-developer-certification.md,/preparing-for-the-b2c-commerce-developer-certification/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/privacy-policy.md,/privacy-policy/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-10.md,/salesforce-b2c-commerce-cloud-22-10/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-8.md,/salesforce-b2c-commerce-cloud-22-8/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-9-release.md,/salesforce-b2c-commerce-cloud-22-9-release/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-1.md,/salesforce-b2c-commerce-cloud-23-1/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-2.md,/salesforce-b2c-commerce-cloud-23-2/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-3-release.md,/salesforce-b2c-commerce-cloud-23-3-release/,,page_frontmatter,pass,none,Required front matter checks passed.,,
