source_file,original_url,rewritten_url,action,link_kind,anchor_text
migration/output/content/posts/b2c-commerce-cloud-campaign-erd.md,https://www.rhino-inquisitor.com/tag/erd/,,remove-orphan,markdown-link,list
migration/output/content/posts/b2c-commerce-cloud-campaign-erd.md,https://www.rhino-inquisitor.com/tag/erd/,,remove-orphan,markdown-link,ERD posts
migration/output/content/posts/b2c-commerce-cloud-campaign-erd.md,https://www.rhino-inquisitor.com/the-salesforce-b2c-commerce-cloud-environment/,/the-salesforce-b2c-commerce-cloud-environment/,rewrite,markdown-link,Salesforce B2C Commerce Cloud
migration/output/content/posts/caching-in-the-sfcc-composable-storefront.md,https://www.rhino-inquisitor.com/sitegenesis-vs-sfra-vs-pwa/,/sitegenesis-vs-sfra-vs-pwa/,rewrite,markdown-link,SFRA
migration/output/content/posts/caching-rest-apis-in-sfcc.md,https://www.rhino-inquisitor.com/how-to-use-ocapi-scapi-hooks/,/how-to-use-ocapi-scapi-hooks/,rewrite,markdown-link,hooks
migration/output/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023.md,https://www.rhino-inquisitor.com/commerce-cloud-t-shirts-on-shirtforce/,/commerce-cloud-t-shirts-on-shirtforce/,rewrite,markdown-link,Shirtforce
migration/output/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023.md,https://www.rhino-inquisitor.com/events-and-the-golden-hoodie/,/events-and-the-golden-hoodie/,rewrite,markdown-link,Golden Hoodie
migration/output/content/posts/commerce-cloud-t-shirts-on-shirtforce.md,https://www.rhino-inquisitor.com/the-state-of-ohana-for-salesforce-commerce-cloud/,/the-state-of-ohana-for-salesforce-commerce-cloud/,rewrite,markdown-link,it isn't known within the Commerce Cloud community
migration/output/content/posts/community-salesforce-events-and-commerce-cloud.md,https://www.rhino-inquisitor.com/events-and-the-golden-hoodie/,/events-and-the-golden-hoodie/,rewrite,markdown-link,privilege of presenting two sessions
migration/output/content/posts/custom-preferences-in-sfcc.md,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-erd/,/salesforce-b2c-commerce-cloud-erd/,rewrite,markdown-link,data model
migration/output/content/posts/custom-preferences-in-sfcc.md,https://www.rhino-inquisitor.com/the-salesforce-b2c-commerce-cloud-environment/,/the-salesforce-b2c-commerce-cloud-environment/,rewrite,markdown-link,Salesforce B2C Commerce Cloud
migration/output/content/posts/custom-ttf-fonts-in-pdf-for-sfcc.md,https://www.rhino-inquisitor.com/mail-attachments-in-b2c-commerce-cloud/,/mail-attachments-in-b2c-commerce-cloud/,rewrite,markdown-link,How to send PDF files as attachments in e-mails
migration/output/content/posts/custom-ttf-fonts-in-pdf-for-sfcc.md,https://www.rhino-inquisitor.com/pdf-and-salesforce-commerce-cloud-b2c/,/pdf-and-salesforce-commerce-cloud-b2c/,rewrite,markdown-link,PDF Generation
migration/output/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release.md,https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,rewrite,markdown-link,Read the 24.2 release notes
migration/output/content/posts/events-and-the-golden-hoodie.md,https://www.rhino-inquisitor.com/trailblazerdx-2022-for-b2c-commerce/,/trailblazerdx-2022-for-b2c-commerce/,rewrite,markdown-link,TrailblazerDX
migration/output/content/posts/everything-new-in-sfcc-23-4.md,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-23-2/,/salesforce-b2c-commerce-cloud-23-2/,rewrite,markdown-link,released in February
migration/output/content/posts/everything-new-in-sfcc-23-4.md,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-23-2/,/salesforce-b2c-commerce-cloud-23-2/,rewrite,markdown-link,working diligently
migration/output/content/posts/everything-new-in-sfcc-23-4.md,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-23-3-release/,/salesforce-b2c-commerce-cloud-23-3-release/,rewrite,markdown-link,Read the 23.3 release notes
migration/output/content/posts/everything-new-in-sfcc-23-4.md,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-23-3-release/,/salesforce-b2c-commerce-cloud-23-3-release/,rewrite,markdown-link,previous release
migration/output/content/posts/everything-new-in-sfcc-23-4.md,https://www.rhino-inquisitor.com/the-salesforce-b2c-commerce-cloud-environment/,/the-salesforce-b2c-commerce-cloud-environment/,rewrite,markdown-link,Salesforce B2C Commerce Cloud
migration/output/content/posts/fetching-data-in-a-locale-with-sfcc.md,https://www.rhino-inquisitor.com/creating-custom-ocapi-endpoints/,/creating-custom-ocapi-endpoints/,rewrite,markdown-link,a custom endpoint
migration/output/content/posts/fetching-data-in-a-locale-with-sfcc.md,https://www.rhino-inquisitor.com/how-to-use-ocapi-scapi-hooks/,/how-to-use-ocapi-scapi-hooks/,rewrite,markdown-link,OCAPI / SCAPI Hook
migration/output/content/posts/fetching-data-in-a-locale-with-sfcc.md,https://www.rhino-inquisitor.com/how-to-use-ocapi-scapi-hooks/,/how-to-use-ocapi-scapi-hooks/,rewrite,markdown-link,custom hooks
migration/output/content/posts/fetching-data-in-a-locale-with-sfcc.md,https://www.rhino-inquisitor.com/sitegenesis-vs-sfra-vs-pwa/,/sitegenesis-vs-sfra-vs-pwa/,rewrite,markdown-link,PWA Kit
migration/output/content/posts/fetching-data-in-a-locale-with-sfcc.md,https://www.rhino-inquisitor.com/the-salesforce-b2c-commerce-cloud-environment/,/the-salesforce-b2c-commerce-cloud-environment/,rewrite,markdown-link,built-in system to manage different aspects of the data
