legacy_url,route_class,disposition,target_url,outcome_verified,http_status,notes
/tag/ocapi/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/oci/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/ohana/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/ohana/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/ohana/page/2/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/ohana/page/4/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/on-demand-sandbox/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/pagedesigner/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/pagedesigner/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/pdf/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sandbox/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/scapi/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/scapi/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/security/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/services/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/session/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/10/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/11/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/12/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/13/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/14/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/15/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/2/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/3/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/4/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/5/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/6/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
